Story,Author,Genre,Tags,Status,Rating,Source
As The World Catches Fire,carlyn_a,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/28975/as-the-world-catches-fire
Into the Mire,Casey Lucas,Fantasy,,Ongoing,,https://intothemire.com/
A Friendly Voidling,cathfach,Fantasy,,Complete,,https://www.royalroad.com/fiction/40998/a-friendly-voidling
A Lonely Dungeon,cathfach,Fantasy,,Complete,,https://www.royalroad.com/fiction/37231/a-lonely-dungeon
An Unbound Soul,cathfach,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/38292/an-unbound-soul
Flight of a Villainess,cathfach,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/44111/flight-of-a-villainess
Marrow,cerealman,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/24693/marrow
Cultivating Earth,Cromethus,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/25962/cultivating-earth-hiatus
Doing God's Work,Csuite,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/25442/doing-gods-work
The Patchwork Realms,eaglejarl,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/30636/the-patchwork-realms
A Practical Guide to Evil,erraticerrata,Fantasy,,Ongoing,,https://practicalguidetoevil.wordpress.com/
Epilogue,Etzoli,Fantasy,,Complete,,https://www.royalroad.com/fiction/21374/epilogue
Everybody Loves Large Chests,Exterminatus,Fantasy,,Completed,,https://www.royalroad.com/fiction/8894/everybody-loves-large-chests
The Chalice Quartet,Forest Green,Fantasy,,Completed,,https://www.royalroad.com/fiction/33801/this-quest-is-bullshit
The New Humans,Henry Walker,Fantasy,,Ongoing,,https://newhumanssite.com/
I Became a [Biologist] in a Fantasy World!,Innate_Lymphoid_Cell,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/33378/i-became-a-biologist-in-a-fantasy-world
The Library,Inorai,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/31551/the-library
Heart of Cultivation,jacobk,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/32502/heart-of-cultivation
Yashima Chronicles,jacobk,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/35875/yashima-chronicles
Mirefall,KittraMcBriar,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/43443/mirefall
